"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C3","2","22pF","","","","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm",""
"C2,C4,C5,C6,C9,C12,C13,C15","8","100nF","","","","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","~"
"C7","1","220uF/16V","","","","Capacitor_THT:CP_Radial_D8.0mm_P5.00mm","~"
"C8","1","680uF","","","","Capacitor_THT:CP_Radial_D13.0mm_P7.50mm","~"
"C10,C11","2","1uF/10V","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C14","1","100uF","","","","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~"
"D1","1","1n5824","","","","Package_TO_SOT_THT:TO-220-2_Vertical","~"
"D2","1","SMBJ33A","","","","Diode_SMD:D_SMB","~"
"D3","1","LED","","","","LED_THT:LED_D5.0mm","~"
"D4,D6","2","SS34","","","","Diode_SMD:D_SMA","https://www.vishay.com/docs/88751/ss32.pdf"
"D5","1","1N5819","","","","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88525/1n5817.pdf"
"F1","1","2A","","","","Fuse:Fuseholder_Clip-5x20mm_Bel_FC-203-22_Lateral_P17.80x5.00mm_D1.17mm_Horizontal","~"
"J1","1","Jack-DC","","","","Connector_BarrelJack:BarrelJack_Horizontal","~"
"J2","1","DE9_Socket","","","","Connector_Dsub:DSUB-9_Socket_Horizontal_P2.77x2.84mm_EdgePinOffset4.94mm_Housed_MountingHolesOffset4.94mm","~"
"J3,J4","2","Screw_Terminal_01x02","","","","TerminalBlock:TerminalBlock_Altech_AK300-2_P5.00mm","~"
"L1","1","33uH","","","","Inductor_THT:L_Radial_D12.5mm_P7.00mm_Fastron_09HCP","~"
"Q1","1","IRLZ44N","","","","Package_TO_SOT_THT:TO-220-3_Vertical","http://www.irf.com/product-info/datasheets/data/irlz44n.pdf"
"R1","1","10K","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R2","1","1k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R5","1","4k7","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R6,R8","2","10k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R7","1","100","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"SW1","1","SW_Push","","","","Button_Switch_THT:SW_PUSH_6mm_H5mm","~"
"TH1","1","Thermistor_PTC","","","","Fuse:Fuse_BelFuse_0ZRE0025FF_L9.6mm_W3.8mm","~"
"U1","1","ATmega328-P","","","","Package_DIP:DIP-28_W7.62mm","http://ww1.microchip.com/downloads/en/DeviceDoc/ATmega328_P%20AVR%20MCU%20with%20picoPower%20Technology%20Data%20Sheet%2040001984A.pdf"
"U2","1","LM2596T-5","","","","Package_TO_SOT_THT:TO-220-5_P3.4x3.7mm_StaggerOdd_Lead3.8mm_Vertical","http://www.ti.com/lit/ds/symlink/lm2596.pdf"
"U3","1","MAX3232","","","","Package_SO:JEITA_SOIC-16_3.9x9.9mm_P1.27mm","https://datasheets.maximintegrated.com/en/ds/MAX3222-MAX3241.pdf"
"U4","1","PC817","","","","Package_DIP:DIP-4_W7.62mm","http://www.soselectronic.cz/a_info/resource/d/pc817.pdf"
"Y1","1","16MHz","","","","Crystal:Crystal_HC49-4H_Vertical","~"
